1;Semana 9-10;HU02, HU03, HU04, HU08, HU11, HU12;Desarrollo;;;;;;;
2;Semana 11-12;HU06, HU09, HU13, HU17, HU18, HU21, HU22;Desarrollo;;;;;;;
3;Semana 13-14;HU14, HU15, HU19, HU23;Desarrollo;;;;;;;
4;Semana 15;HU24, HU25;Despliegue;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Sprint Backlog;;;;;;;;;;
;;;;;;;;;;
Sprint;Tiempo;Historia de usuario;Alcance;;;;;;;
0;Semana 6-8;;MVP;;;;;;;
1;Semana 9-10;;Desarrollo;;;;;;;
2;Semana 11-12;;Desarrollo;;;;;;;
3;Semana 13-14;;Desarrollo;;;;;;;
4;Semana 15;;Despliegue;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
